t,o,h,l,c,v
1719006300000,64032.1,64101.4,64028.9,64081.9,13988.3
1719007200000,64082.0,64173.5,64082.0,64165.3,24870.5
1719008100000,64165.4,64208.4,64165.3,64189.2,19388.7
1719009000000,64189.1,64192.4,64132.5,64188.5,26780.1
1719009900000,64188.5,64191.9,64157.0,64163.4,7282.9
1719010800000,64163.3,64234.4,64104.4,64182.2,34776.3
1719011700000,64182.2,64182.2,64067.2,64119.8,44710.4
1719012600000,64119.8,64156.7,64098.0,64109.1,37150.0
1719013500000,64109.1,64152.5,64084.7,64152.4,16558.8
1719014400000,64152.5,64188.0,64100.0,64102.9,28500.9
1719015300000,64102.8,64159.7,64049.9,64063.8,28675.1
1719016200000,64063.9,64109.4,63932.0,63987.0,57314.0
1719017100000,63987.0,64060.2,63975.0,64059.8,29616.6
1719018000000,64059.8,64183.0,64048.6,64149.6,26194.9
1719018900000,64149.6,64167.5,64072.2,64094.9,14556.1
1719019800000,64094.9,64175.0,64089.0,64163.9,14423.6
1719020700000,64164.0,64222.2,64150.0,64150.1,26709.9
1719021600000,64150.0,64335.8,64150.0,64294.6,54340.0
1719022500000,64294.5,64318.0,64238.0,64255.5,42144.1
1719023400000,64255.5,64343.9,64224.0,64284.3,36103.8
1719024300000,64284.3,64314.8,64211.1,64296.4,43581.8
1719025200000,64296.3,64324.6,64278.0,64324.6,29097.5
1719026100000,64324.5,64324.6,64260.0,64311.7,25666.8
1719027000000,64311.1,64320.0,64263.7,64277.8,22702.5
1719027900000,64277.0,64318.5,64261.2,64318.5,16276.1
1719028800000,64318.5,64367.5,64267.0,64275.9,39423.0
1719029700000,64276.0,64280.0,64240.8,64269.5,22624.8
1719030600000,64269.5,64285.7,64248.1,64285.7,21578.0
1719031500000,64285.7,64355.7,64274.8,64351.1,24265.6
1719032400000,64351.1,64351.1,64244.0,64269.8,38865.3
1719033300000,64269.8,64356.9,64269.8,64356.9,27648.1
1719034200000,64357.0,64390.0,64324.0,64356.9,50699.5
1719035100000,64356.9,64421.8,64356.9,64415.0,50571.8
1719036000000,64415.0,64454.9,64373.6,64420.0,62988.1
1719036900000,64420.0,64461.8,64354.5,64396.6,48692.9
1719037800000,64396.6,64493.0,64362.4,64489.3,45325.6
1719038700000,64489.1,64520.0,64391.4,64423.7,62456.4
1719039600000,64423.7,64437.8,64309.9,64353.1,80127.0
1719040500000,64353.2,64400.0,64313.6,64399.9,43285.8
1719041400000,64400.0,64478.8,64387.6,64471.2,46270.5
1719042300000,64471.2,64539.8,64430.1,64521.6,100816.2
1719043200000,64521.5,64533.4,64348.1,64400.2,143039.5
1719044100000,64400.2,64400.2,64299.1,64357.1,65239.4
1719045000000,64357.1,64357.2,64292.6,64331.3,30411.5
1719045900000,64331.4,64349.4,64273.9,64292.8,35159.3
1719046800000,64292.9,64313.3,64265.9,64295.9,71010.0
1719047700000,64295.9,64341.4,64200.0,64316.7,129774.6
1719048600000,64316.8,64321.7,64253.7,64315.2,38056.0
1719049500000,64315.2,64344.2,64296.0,64330.3,36263.0
1719050400000,64330.4,64360.0,64273.4,64358.0,41138.2
1719051300000,64357.9,64383.0,64276.9,64316.7,37765.4
1719052200000,64316.7,64331.2,64281.7,64322.1,15659.6
