t,o,h,l,c,v
1719072000000,64308.5,64529.6,64070.1,64103.5,1968322.5
1719158400000,64103.5,64196.4,60600.0,60853.1,13958734.6
1719244800000,60853.2,62150.0,58351.0,61819.6,16865171.1
1719331200000,61819.6,62491.5,61134.0,61480.0,7678314.0
1719417600000,61480.0,62400.0,60620.0,61582.0,8822886.8
1719504000000,61580.3,62230.0,60755.0,61058.8,7840895.9
1719590400000,61058.8,61227.5,60050.0,61115.0,5806672.4
1719676800000,61114.9,61878.8,60709.9,61720.0,4498210.9
1719763200000,61720.0,63840.0,61580.0,63126.3,9255188.8
1719849600000,63126.3,63866.0,61836.9,61958.4,8765702.3
1719936000000,61958.5,62375.0,59531.3,60187.1,12398107.0
1720022400000,60187.2,60664.8,56758.0,58140.1,19073867.4
1720108800000,58140.2,58821.8,53222.3,56678.3,26484417.1
1720195200000,56678.3,57466.4,55820.0,57310.2,8919585.2
1720281600000,57310.2,58499.8,56568.0,56832.0,8791287.6
1720368000000,56832.1,58226.4,54280.0,55760.2,19290439.1
1720454400000,55760.2,58143.0,55417.7,57470.5,11745094.6
1720540800000,57470.5,59481.7,57328.1,57700.0,11682346.9
1720627200000,57700.1,59671.5,57001.2,57405.8,12021522.2
1720713600000,57405.7,58273.9,56535.5,58206.1,9353724.3
1720800000000,58206.1,58926.9,57155.1,58844.1,7291427.7
1720886400000,58844.1,60419.1,58238.2,60088.0,9379499.8
1720972800000,60087.9,63330.0,59864.5,63019.1,13055757.8
1721059200000,63019.1,65000.0,62375.0,64881.8,18402707.2
1721145600000,64881.9,66149.4,64110.6,64740.8,13370471.4
1721232000000,64740.8,65155.3,63400.0,63545.0,10095735.0
1721318400000,63545.1,65900.0,63232.6,65838.9,11398002.3
1721404800000,65841.5,67423.7,65830.7,66829.4,8472785.2
1721491200000,66829.4,67655.0,66596.0,67164.0,6084405.7
1721577600000,67164.1,68497.9,65769.1,67077.9,11780333.5
1721664000000,67077.9,68278.8,65956.8,66578.8,10981688.2
1721750400000,66575.0,67126.4,65425.8,66189.1,9719051.4
1721836800000,66189.2,66713.4,63433.6,64785.9,12915998.7
1721923200000,64786.0,67999.0,64383.2,67574.4,12299369.0
1722009600000,67574.4,69434.3,67300.0,68874.4,7596023.2
1722096000000,68874.4,69233.0,66621.1,67660.4,12988385.0
1722182400000,67660.4,70098.0,67622.2,68100.0,11966905.3
1722268800000,68100.0,68125.9,65534.0,66226.9,12572278.5
1722355200000,66226.9,66863.3,65280.0,66379.9,9406336.7
1722441600000,66380.0,66840.0,62654.1,62906.2,15516724.6
1722528000000,62906.8,65660.0,62266.8,63410.1,19452840.9
1722614400000,63410.1,63607.9,60500.0,60876.0,12327934.3
1722700800000,60875.9,61340.2,58925.0,59097.7,12723703.5
1722787200000,59097.8,59577.0,48906.7,54320.3,50389481.6
1722873600000,54320.2,56622.0,52525.3,56407.8,21808811.4
1722960000000,56407.7,57854.9,55555.0,56100.0,15884934.9
1723046400000,56100.0,59541.0,54558.8,59422.0,18469217.2
1723132800000,59423.0,62766.0,59235.0,59820.6,16041183.0
1723219200000,59820.6,61492.8,59728.0,60517.2,6868212.0
1723305600000,60517.2,61951.3,59900.1,60134.5,5939806.4
1723392000000,60135.1,60718.8,57610.0,60207.4,16236707.5
1723478400000,60207.3,60421.1,58366.0,59469.2,9625271.5
1723564800000,59469.2,61847.0,58806.1,59435.5,14242375.0
1723651200000,59435.4,59775.2,57704.1,59671.5,10722511.5
1723737600000,59670.5,59861.5,56048.3,58063.9,15314560.9
1723824000000,58063.6,59824.9,57991.1,59392.9,6971747.8
1723910400000,59393.0,60297.9,59151.0,59867.0,6634444.5
1723996800000,59867.0,59959.4,57800.0,58535.1,9665038.9
1724083200000,58535.1,61434.4,58372.2,58822.1,13810856.6
1724169600000,58822.1,60222.0,58500.0,59514.1,10488793.6
1724256000000,59514.1,61828.0,59370.6,60406.2,13953509.9
1724342400000,60406.3,62327.4,60130.0,61528.0,11456439.2
1724428800000,61527.0,65098.5,61317.7,63982.6,12572392.4
1724515200000,63982.6,65028.4,63500.0,64133.0,5604934.4
1724601600000,64133.1,65043.6,63068.0,63535.0,9162193.0
1724688000000,63535.0,63890.0,61456.1,61698.6,11970203.0
1724774400000,61698.6,62197.0,57910.1,59003.9,17104615.7
1724860800000,59003.8,61169.9,57778.9,60779.9,11740768.2
1724947200000,60779.9,60960.0,57924.0,58094.0,12672163.3
1725033600000,58095.9,59478.0,57660.1,59017.9,6081813.1
1725120000000,59017.9,59159.9,57150.1,58220.1,7727422.9
1725206400000,58220.0,58844.0,57111.0,58539.4,10161906.1
1725292800000,58539.5,59828.0,57568.0,57721.3,9918929.0
1725379200000,57721.2,58258.0,55555.9,58132.8,14035878.6
1725465600000,58132.7,58535.1,55800.0,55973.0,13873131.3
1725552000000,55973.1,57048.1,53805.0,54041.5,17665867.1
1725638400000,54040.6,54842.3,52522.0,54779.1,11950235.6
1725724800000,54779.2,54863.2,53626.1,53688.0,6492847.4
1725811200000,53688.1,55798.8,53622.0,55390.0,12064418.2
1725897600000,55389.9,58161.5,55346.4,56593.0,14379850.4
1725984000000,56593.1,58048.6,55555.5,56700.1,15153248.4
1726070400000,56700.1,58586.8,56644.0,57511.8,13055949.3
1726156800000,57511.8,59732.9,57495.1,59659.9,10891384.0
1726243200000,59658.4,60650.0,59315.4,59867.0,8220543.2
1726329600000,59865.3,60415.8,59374.2,60336.8,4345508.7
1726416000000,60336.8,60350.0,57566.2,57887.8,11869539.6
1726502400000,57887.8,61366.0,57450.0,61139.8,13610190.6
1726588800000,61139.9,61276.0,59306.1,59434.2,10984731.7
1726675200000,59434.2,63528.0,59162.8,63153.4,19937578.6
1726761600000,63153.9,64183.2,62574.7,63165.0,13237321.4
1726848000000,63164.9,63321.1,62337.9,63167.5,5241500.4
1726934400000,63167.6,63600.0,62456.7,62655.4,4634518.0
