t,o,h,l,c,v
1719007200000,64082.0,64208.4,64082.0,64163.4,78322.2
1719010800000,64163.3,64234.4,64067.2,64152.4,133195.5
1719014400000,64152.5,64188.0,63932.0,64059.8,144106.6
1719018000000,64059.8,64222.2,64048.6,64150.1,81884.5
1719021600000,64150.0,64343.9,64150.0,64296.4,176169.7
1719025200000,64296.3,64324.6,64260.0,64318.5,93742.9
1719028800000,64318.5,64367.5,64240.8,64351.1,107891.4
1719032400000,64351.1,64421.8,64244.0,64415.0,167784.7
1719036000000,64415.0,64520.0,64354.5,64423.7,219463.0
1719039600000,64423.7,64539.8,64309.9,64521.6,270499.5
1719043200000,64521.5,64533.4,64273.9,64292.8,273849.7
1719046800000,64292.9,64344.2,64200.0,64330.3,275103.6
1719050400000,64330.4,64383.0,64273.4,64321.8,102558.4
1719054000000,64321.8,64331.2,64250.0,64281.5,74571.8
1719057600000,64281.6,64345.0,64269.3,64298.5,68935.6
1719061200000,64298.5,64310.2,64255.2,64283.3,57645.0
1719064800000,64283.2,64400.0,64260.0,64283.9,107171.9
1719068400000,64284.0,64314.5,64250.0,64308.5,88567.8
1719072000000,64308.5,64363.2,64262.8,64320.1,70981.0
1719075600000,64320.0,64361.9,64250.0,64255.1,80305.5
1719079200000,64255.2,64328.0,64250.0,64268.2,33827.9
1719082800000,64268.2,64305.1,64223.7,64298.2,53104.1
1719086400000,64298.3,64308.4,64250.0,64288.9,52735.1
1719090000000,64288.9,64340.2,64272.2,64319.9,48579.1
1719093600000,64319.9,64327.3,64269.6,64316.9,22299.4
1719097200000,64317.0,64331.3,64253.8,64266.3,66370.1
1719100800000,64266.3,64529.6,64266.3,64484.6,193496.2
1719104400000,64484.6,64523.0,64316.1,64471.6,137297.5
1719108000000,64471.7,64516.1,64368.2,64516.1,69101.2
1719111600000,64516.3,64518.0,64416.8,64419.7,80952.1
1719115200000,64419.7,64450.7,64378.8,64381.6,91894.6
1719118800000,64381.6,64429.3,64350.0,64378.9,44885.4
1719122400000,64378.9,64424.4,64378.0,64382.5,36223.6
1719126000000,64382.5,64437.0,64377.0,64416.1,43504.9
1719129600000,64416.1,64437.3,64374.9,64383.4,30892.0
1719133200000,64383.4,64424.0,64383.3,64409.9,53869.1
1719136800000,64409.9,64410.0,64288.0,64308.1,116136.7
1719140400000,64308.1,64346.7,64251.3,64346.7,104132.1
1719144000000,64346.7,64382.0,64318.5,64382.0,40583.5
1719147600000,64381.9,64439.1,64265.0,64312.3,93756.6
1719151200000,64312.4,64327.8,64156.4,64203.9,192766.8
1719154800000,64204.0,64220.0,64070.1,64103.5,210628.0
1719158400000,64103.5,64193.7,63925.0,63939.2,217486.6
1719162000000,63939.3,64195.0,63931.1,64130.1,184733.2
1719165600000,64130.1,64168.2,64077.1,64123.4,61389.9
1719169200000,64123.5,64196.4,64095.5,64155.0,57688.3
1719172800000,64155.0,64165.2,63597.9,63748.2,348832.5
