t,o,h,l,c,v
1719006300000,64028.5,64102.8,64007.4,64091.0,14.43738269
1719007200000,64091.1,64172.8,64085.2,64169.5,12.54769111
1719008100000,64169.5,64201.8,64159.0,64194.8,17.27180676
1719009000000,64194.8,64194.8,64137.0,64192.9,7.8140266
1719009900000,64192.8,64192.9,64154.7,64164.2,9.15277438
1719010800000,64164.3,64231.4,64103.7,64183.1,13.67382919
1719011700000,64183.0,64183.1,64069.6,64121.8,11.46016758
1719012600000,64121.7,64152.7,64092.3,64100.6,11.71352117
1719013500000,64104.2,64145.4,64077.8,64145.4,9.38956683
1719014400000,64145.4,64187.7,64100.8,64100.8,9.83069533
1719015300000,64100.8,64157.9,64056.1,64063.5,15.67117659
1719016200000,64063.6,64106.4,63933.3,63979.9,30.60783764
1719017100000,63981.5,64064.8,63970.1,64054.1,39.11674261
1719018000000,64054.2,64179.6,64037.5,64144.9,28.7379677
1719018900000,64144.9,64156.2,64063.4,64083.7,7.14186357
1719019800000,64083.7,64168.5,64083.7,64155.6,7.84053334
1719020700000,64155.7,64223.1,64149.4,64149.9,22.69922677
1719021600000,64149.8,64325.1,64149.8,64290.7,35.72147819
1719022500000,64290.7,64318.1,64240.5,64248.0,19.24782039
1719023400000,64248.0,64333.8,64221.7,64281.5,23.56235274
1719024300000,64281.4,64320.1,64205.7,64305.9,84.53709194
1719025200000,64306.3,64350.0,64283.6,64336.9,92.44845226
1719026100000,64336.9,64336.9,64268.0,64321.9,20.37812364
1719027000000,64318.3,64329.1,64276.0,64282.7,15.47704233
1719027900000,64282.8,64327.3,64271.0,64327.3,15.91323935
1719028800000,64327.3,64367.3,64274.9,64284.1,23.14066508
1719029700000,64284.1,64289.7,64245.7,64275.3,5.94518629
1719030600000,64275.2,64295.9,64255.6,64295.8,6.67039348
1719031500000,64295.9,64364.7,64283.1,64357.0,13.87639488
1719032400000,64356.9,64356.9,64255.6,64279.3,19.47365865
1719033300000,64279.4,64379.6,64274.7,64364.8,38.81320796
1719034200000,64364.8,64400.0,64331.9,64367.5,34.97177297
1719035100000,64367.6,64433.7,64367.5,64419.9,35.14161313
1719036000000,64420.0,64454.5,64381.0,64426.8,64.72709157
1719036900000,64426.8,64462.6,64357.8,64406.4,45.93258512
1719037800000,64405.9,64499.9,64372.1,64489.4,44.35518943
1719038700000,64489.5,64543.9,64395.2,64425.0,47.71647089
1719039600000,64425.1,64444.3,64305.9,64362.8,48.10800361
1719040500000,64358.8,64399.9,64317.7,64399.9,34.68468612
1719041400000,64400.0,64476.2,64389.8,64476.2,39.47422278
1719042300000,64476.1,64534.6,64437.2,64515.1,38.85326752
1719043200000,64515.1,64530.0,64351.6,64399.6,74.90231856
1719044100000,64399.7,64400.0,64301.6,64354.7,17.04896792
1719045000000,64354.8,64361.0,64300.0,64330.0,12.7895936
1719045900000,64331.7,64344.2,64274.8,64295.2,17.73257141
1719046800000,64292.8,64309.4,64273.5,64288.3,19.50469941
