t,o,h,l,c,v
1719007200000,64091.1,64201.8,64085.2,64164.2,46.78629885
1719010800000,64164.3,64231.4,64069.6,64145.4,46.23708477
1719014400000,64145.4,64187.7,63933.3,64054.1,95.22645217
1719018000000,64054.2,64223.1,64037.5,64149.9,66.41959138
1719021600000,64149.8,64333.8,64149.8,64305.9,163.06874326
1719025200000,64306.3,64350.0,64268.0,64327.3,144.21685758
1719028800000,64327.3,64367.3,64245.7,64357.0,49.63263973
1719032400000,64356.9,64433.7,64255.6,64419.9,128.40025271
1719036000000,64420.0,64543.9,64357.8,64425.0,202.73133701
1719039600000,64425.1,64534.6,64305.9,64515.1,161.12018003
1719043200000,64515.1,64530.0,64274.8,64295.2,122.47345149
1719046800000,64292.8,64349.4,64205.5,64329.1,69.65567842
1719050400000,64329.1,64378.0,64275.1,64318.7,43.57659532
1719054000000,64318.7,64324.9,64250.0,64274.9,46.21683873
1719057600000,64275.0,64337.9,64272.2,64296.7,41.13491483
1719061200000,64296.8,64308.6,64250.0,64283.8,27.64060115
1719064800000,64283.8,64398.8,64252.1,64287.9,66.4376618
1719068400000,64287.9,64316.2,64242.5,64302.9,77.43688994
1719072000000,64303.0,64357.8,64263.4,64316.3,29.09298205
1719075600000,64316.4,64352.9,64256.0,64258.5,26.93925323
1719079200000,64258.6,64330.6,64254.5,64272.9,68.8429722
1719082800000,64273.0,64307.3,64233.9,64295.5,20.78044382
1719086400000,64295.6,64310.3,64247.3,64292.4,23.85787248
1719090000000,64292.4,64343.6,64263.8,64323.7,24.87572727
1719093600000,64323.8,64323.8,64267.4,64311.4,14.40648181
1719097200000,64311.5,64330.9,64257.1,64263.0,14.26472235
1719100800000,64263.0,64524.7,64263.0,64478.4,99.49473438
1719104400000,64478.5,64522.6,64346.4,64473.0,63.80975264
1719108000000,64473.0,64511.9,64367.9,64511.9,39.52880916
1719111600000,64512.0,64519.4,64405.4,64409.0,123.28718172
1719115200000,64410.0,64432.5,64369.9,64379.5,291.05205623
1719118800000,64378.6,64418.6,64340.0,64376.6,31.5765504
1719122400000,64376.7,64417.5,64372.0,64380.7,29.8306541
1719126000000,64380.7,64439.4,64370.1,64415.1,46.64308522
1719129600000,64415.1,64437.2,64370.9,64388.0,40.33566489
1719133200000,64388.0,64427.2,64387.9,64414.7,41.34983275
1719136800000,64414.7,64414.7,64290.8,64304.1,79.05085574
1719140400000,64304.1,64341.8,64251.2,64341.8,54.19937925
1719144000000,64341.8,64398.0,64317.6,64391.7,53.39851817
1719147600000,64391.8,64446.4,64250.0,64302.6,89.78226483
1719151200000,64302.5,64313.1,64153.8,64199.9,88.276145
1719154800000,64199.8,64208.4,64067.9,64097.9,81.09059773
1719158400000,64098.0,64183.7,63930.0,63934.1,66.68163818
1719162000000,63934.1,64184.0,63929.9,64122.8,67.91763233
1719165600000,64122.8,64158.4,64068.3,64119.3,20.57244555
1719169200000,64119.4,64186.4,64094.1,64154.4,28.53031705
1719172800000,64154.3,64160.0,63613.8,63740.0,294.12932294
1719176400000,63740.0,63853.5,63526.8,63836.3,751.41428133
1719180000000,63836.9,63836.9,63633.0,63659.8,80.95360912
1719183600000,63663.3,63700.0,63155.2,63211.9,374.93203746
1719187200000,63212.0,63327.2,62903.3,63068.5,752.58787391
1719190800000,63068.5,63333.7,62912.7,63297.9,582.16392979
1719194400000,63297.9,63366.7,62674.3,62872.7,395.47203897
1719198000000,62872.7,63070.9,62731.0,62857.9,220.57151411
1719201600000,62853.8,62947.9,62648.7,62833.0,247.12591019
1719205200000,62833.0,62881.5,62264.9,62310.3,500.59259063
1719208800000,62310.1,62423.8,62161.9,62390.0,389.89568836
1719212400000,62390.0,62591.9,62181.1,62460.6,341.28151477
